Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min))
2025-05-04,481.31,7.0,17.0,83.0,,42.0,118.0,68.44,82.35,16.92,7.125,0.0,4.141666666666667,0.9416666666666668,2.041666666666667,0.05,48.0189784487508
2025-05-05,543.79,12.0,16.0,96.0,,48.0,116.0,69.68,69.25,17.06,5.933333333333334,0.0,3.1583333333333337,0.9833333333333332,1.7916666666666667,0.0916666666666666,45.80829793878859
2025-05-06,594.23,10.0,13.0,117.0,,48.0,109.0,66.98,60.48,16.72,7.525,0.0,5.041666666666668,0.8833333333333333,1.6,0.1833333333333333,44.841379550401975
2025-05-07,545.7,17.0,10.0,121.0,,48.0,162.0,72.43,90.13,16.05,7.491666666666665,0.0,4.7749999999999995,0.8999999999999999,1.8166666666666669,0.2083333333333333,44.71283293297101
2025-05-08,396.74,9.0,6.0,106.0,,55.0,114.0,75.79,53.89,16.26571870559902,7.077201257861628,,4.225157232704395,0.9709119496855336,1.7668238993710657,0.10066556367454771,44.06708710302375
2025-05-09,286.98,3.0,8.0,45.0,,51.0,119.0,64.41,64.95,15.72,5.958333333333334,0.0,4.2250000000000005,0.8,0.9333333333333332,0.1833333333333333,42.59519856133517
2025-05-10,802.52,21.0,20.0,256.0,,49.0,138.0,77.62,54.63,16.12,4.991666666666666,0.0,2.208333333333333,1.4,1.3833333333333333,0.0583333333333333,49.74518784830657
2025-05-11,490.01,11.0,14.0,142.0,,50.0,129.0,73.86,59.57,16.26,6.766666666666666,0.0,3.2166666666666663,1.5083333333333335,2.0416666666666665,0.0166666666666666,47.40521501187186
2025-05-12,487.81,21.0,11.0,161.0,,55.0,122.0,81.62,45.75,16.834070929472603,7.07720125786162,,4.225157232704387,0.9709119496855343,1.7668238993710632,0.15562148448052138,45.14068748219386
2025-05-13,585.07,11.0,14.0,129.0,,49.0,154.0,72.51,60.49,18.37,6.983333333333333,1.9166666666666663,2.6416666666666666,1.025,1.3999999999999997,0.475,45.131193325858334
2025-05-14,783.73,23.0,13.0,260.0,,47.0,122.0,68.5,72.67,17.31,8.183333333333334,0.0,4.083333333333333,1.6166666666666667,2.4833333333333334,0.1916666666666666,47.93422147118433
2025-05-15,676.11,12.0,14.0,149.0,,44.0,140.0,71.85,68.94,17.68,8.783333333333333,1.2583333333333333,4.308333333333333,0.9416666666666668,2.275,0.0499999999999999,48.31179847572186
2025-05-16,1097.0,75.0,14.0,259.0,,50.0,145.0,82.94,56.34,16.85,5.841666666666667,0.0,3.141666666666666,1.1,1.6,0.2166666666666666,43.63361437373829
2025-05-17,465.3,12.0,13.0,102.0,,53.0,119.0,82.48,53.97,17.171094280201164,7.077201257861629,,4.2251572327043965,0.9709119496855336,1.7668238993710663,0.13776500110082668,45.56089551906114
2025-05-18,655.66,22.0,17.0,150.0,,50.0,150.0,77.96,48.82,17.32,7.999999999999998,1.1,4.391666666666666,0.675,1.833333333333333,0.1916666666666666,46.04260038012088
2025-05-19,733.95,50.0,15.0,153.0,,49.0,133.0,77.79,61.19,17.51,7.166666666666667,0.0,4.7,0.8083333333333333,1.6583333333333332,0.3166666666666667,43.17
2025-05-20,912.44,47.0,14.0,100.0,30.37,51.0,167.0,94.43,30.16,16.54782743035783,7.077201257861625,,4.2251572327043885,0.9709119496855394,1.7668238993710632,0.13923333977525876,42.57
2025-05-21,1088.0,55.0,16.0,123.0,,55.0,166.0,96.08,49.9,15.25,7.077201257861635,,4.225157232704406,0.9709119496855296,1.7668238993710668,0.19371873211385582,43.1548705089423
2025-05-22,684.19,22.0,14.0,147.0,,50.0,153.0,78.03,54.52,15.91,7.041666666666666,0.0,4.708333333333333,0.6416666666666667,1.6916666666666669,0.15,44.822383569674344
2025-05-23,424.82,15.0,13.0,76.0,,49.0,108.0,69.09,68.16,16.62,7.183333333333333,0.0,4.2749999999999995,0.9083333333333332,2.0,0.0416666666666666,45.257220210998284
2025-05-24,1664.0,158.0,18.0,346.0,30.37,48.0,154.0,98.42,55.87,16.49,7.708333333333333,0.0,4.333333333333333,0.9083333333333332,2.466666666666667,0.0583333333333333,43.15
2025-05-25,442.23,11.0,15.0,77.0,,52.0,124.0,75.97,54.24,20.44,7.077201257861629,,4.225157232704389,0.9709119496855432,1.7668238993710674,0.20482885317062405,42.25759866827806
2025-05-26,1030.0,79.0,15.0,178.0,24.46,49.0,166.0,91.69,66.2,16.86,7.658333333333333,0.0,4.558333333333334,1.2083333333333333,1.8916666666666664,0.1083333333333333,42.57
2025-05-27,473.66,13.0,15.0,86.0,,47.0,119.0,73.89,57.04,17.36,7.077201257861633,,4.225157232704399,0.9709119496855363,1.7668238993710685,0.13400198043077072,45.551154304227445
2025-05-28,523.87,15.0,14.0,120.0,,50.0,148.0,73.63,74.03,15.66,6.316666666666666,0.0,3.708333333333333,1.0750000000000002,1.5333333333333332,0.2416666666666666,45.468243025212935
2025-05-29,827.53,45.0,15.0,143.0,25.86,50.0,165.0,82.15,52.62,16.67,7.116666666666667,0.0,3.9,1.1583333333333332,2.0583333333333336,0.1166666666666666,42.46
2025-05-30,730.05,23.0,16.0,161.0,,48.0,124.0,73.96,58.78,16.52,7.275,0.0,4.391666666666667,0.8583333333333333,2.025,0.2583333333333333,45.82948235105145
2025-05-31,734.49,24.0,18.0,210.0,,52.0,121.0,73.07,54.42,16.62,6.158333333333333,0.0,3.5166666666666666,0.8666666666666667,1.775,0.1916666666666666,46.38270300328519
2025-06-01,436.2,13.0,12.0,91.0,,56.0,124.0,77.62,45.41,18.38,7.077201257861624,,4.2251572327043885,0.9709119496855385,1.7668238993710637,0.1920653582786801,42.294404575819456
2025-06-02,502.36,9.0,16.0,64.0,,53.0,123.0,76.43,44.4,17.72,3.7666666666666666,0.0,1.9416666666666669,0.825,1.0,0.15,43.04911658405425
2025-06-03,1128.0,78.0,17.0,168.0,23.69,45.0,160.0,85.96,50.18,16.08,6.316666666666666,0.0,3.85,1.0416666666666663,1.4250000000000005,0.0666666666666666,41.94
2025-06-04,134.28,3.0,4.0,14.0,,51.0,116.0,62.7,62.14,16.8,7.283333333333333,0.0,4.008333333333333,1.05,2.2250000000000005,0.0583333333333333,41.693457268723876
